Employee_ID,Employee_Name,Email,Phone,Gender,Date_of_Birth,Age,Department,Job_Title,Employment_Type,Joining_Date,Location,Education,Experience_Years,Annual_Salary,Bonus,Performance_Rating,Manager,Employee_Status,Marital_Status,Leave_Days,Job_Satisfaction,Overtime_Hours,Notes
50022,Amit Kumar,amit.kumar21@company.com,9130513669,Male,1979-02-12,50,Sales,Software Engineer,full time,2025-01-17 00:00:00,pune,Diploma,3.9,543553,27177.65,GOOD,Priya Sharma, ,Married,31,1,4.0,
50553,Manish Gowda,manish.gowda44@company.com,9474323947,Male,1970-05-16,19,IT,aCCOUNT eXECUTIVE,Contract,2026-06-10 00:00:00, Mumbai ,Master's,17.9,,278013.75,Excellent,Sneha Patel, Active,Divorced,19,1,19.0,
51182,Arjun Verma,arjun.verma78@company.com  ,9882377436,Male,2000-11-09,62,IT,Account Executive,Contract,2020-06-15 00:00:00,Kolkata,Master's,14.3,1434681,71734.05,Good,Priya Sharma,On Leave,Married,28,5,20.0,Good performer
50610, Sanjay Gowda,sanjay.gowda32@company.com,9586807580,Female,1992-12-12,56,sales,Software Engineer,part-time,2019-04-03 00:00:00, Kolkata,PhD,12.0,"₹283,311",56662.2,Excellent,Rahul Rao,On Leave,Married,0,2,8.0,
51185,Divya Rao,divya.rao87@company.com,9914455543,Male,2001-08-05,51,Sales,Data Analyst,Part Time,2020-08-12 00:00:00, Mysuru,PhD,10.0,1889352,188935.2,Good,Anil Kumar,Inactive,Married,5,5,5.0,Needs training
50773,Isha Reddy,isha.reddy50@company.com,9438689077,Male,2008-02-08,31,Sales,,Intern,2021-04-21 00:00:00,Gurugram,Diploma,5.6,2060696,206069.6,Needs Improvement,Sneha Patel,Inactive,Divorced,,2,5.0,Needs training
50593,Nikhil Reddy,,9812183022,,2000-06-16,34,Procurement,Data Analyst,Part Time,2023-07-25 00:00:00,Delhi,BACHELORS,10.2,1723714,137897.12,Average,Sneha Patel,aCTIVE,Married,27,2,27.0,
50543,Shreya Mehta,shreya.mehta6@company.com,9531929019,Male,1980-03-22,58,Procurement,HR Executive,Full Time,2020-05-05 00:00:00,Chennai,PhD,9.3,457031,0.0,Excellent,Meera Nair,Inactive,Single,0,3,,Fast learner
50977,Sneha Mehta,sneha.mehta45@company.com,9215370147,Male,2006-09-10,26,Marketing,Operations Executive,part-time,2021-01-05 00:00:00,Mysuru,Master's,13.5,"1,878,130",281719.5,Good,Anil Kumar,Active,Single  ,10,3,38.0,
50935,Neha Verma,neha.verma59@company.com,9276634245,Male,1965-11-28,,Marketing,Data Analyst,Contract,2020-02-11 00:00:00,Mysuru,Diploma,1.0,1554401,0.0,excellent,Vikram Singh,active,Single,24,3,24.0,Good performer
51077,Manish Joshi,manish.joshi29@company.com,9304340475,Other,1977-03-10,63,Finance,HR Executive,Contract,2021-01-07 00:00:00,Mumbai,Bachelor's,4.9,533297,42663.76,Average,Anil Kumar,Active,Divorced,29,4,32.0,Needs training
50285,kIRAN pATEL,kiran.patel20@company.com,9811467173,Female,1984-12-25,18,Customer Support,Software Engineer,Full Time,2022-07-29 00:00:00,Mumbai  ,Master's,6.2,1110531,55526.55,Good,Sneha Patel,Active,married,34,5,0.0,
51188,Ananya Mehta,ananya.mehta23@company.com,9690130319,Male,1967-11-14,57,SALES,Business Analyst,Intern,2026-03-20 00:00:00,Bengaluru,Diploma,0.5,560376,112075.2,Excellent,Anil Kumar,Active, Married,25,3,9.0,
50085,Sneha Reddy,sneha.reddy48@company.com,9870900102,Male,2002-10-13,23,it,Business Analyst,Part Time,2020-10-10 00:00:00,Mysuru,Diploma,14.8,243897,"₹36,584",poor,Rahul Rao,Active,Divorced,,5,8.0,Fast learner
51131,Vivek Verma,vivek.verma90@company.com,9407149125,Male,1973-05-30,49,MKTG,,Part Time,2021-09-15 00:00:00,Delhi,BACHELOR'S,5.2,1186643,0.0,good,Sneha Patel,On Leave,Single,21,0,34.0,Needs training
51087,Rohit Joshi,rohit.joshi57@company.com,9794798663,Other,1966-01-24,65,Customer Support,Business Analyst,Full Time,2024-06-12 00:00:00,Mysuru,PhD,7.4,2155661,323349.15,Average,Rahul Rao,Inactive,Married,16,1,twenty,Fast learner
50252,Akash Sharma,akash.sharma35@company.com,9853564982,Other,2008-08-16,48,marketing,Sales Executive, Intern,2019-01-02 00:00:00,Delhi,diploma,15.2, 694227 ,0.0,Excellent,Anil Kumar,Active,Divorced,26,2,5.0,
51099,Rahul Sharma,rahul.sharma64@company.com,9527569757,Male,1967-02-21,42,IT,Support Specialist,Contract,2025-01-15 00:00:00,Noida,Bachelor's,16.8,1509341,75467.05,Average,Sneha Patel,aCTIVE,Single,9,1,7.0,Fast learner
51115,Amit Joshi, amit.joshi89@company.com ,9265463121, MALE ,1973-04-15,32,Procurement,Data Analyst,CONTRACT,2025-07-25 00:00:00,Chennai,Diploma,3.9,1558968,155896.8,good,Vikram Singh, Active ,Divorced,16,1,11.0,Fast learner
50701, ,arjun.verma31@company.com,9934038393,Other,1993-01-04,27,Operations,Marketing Analyst,Part Time,2021-02-17 00:00:00,Bengaluru,Bachelor's,10.2,507973,50797.3,Excellent,Priya Sharma,Active,Married,25,1,15.0,Good performer
50647,Rohit Joshi,rohit.joshi15@company.com,9586790231,Female,1995-03-31,39,Finance,HR Executive,Part Time,2020-04-05 00:00:00,Gurugram,Master's,11.4,1707522,136601.76,Excellent,Priya Sharma,Resigned,Married,21,1,15.0,Good performer
51037, Rohit Patel ,rohit.patel63@company.com,9520622375,Female,1997-07-03,24,HR,Sales Executive, Part Time,2024-02-13 00:00:00,Chennai, Diploma,9.9,1706071,0.0,Good,Meera Nair,Active,divorced,33,,32.0,
50469, Shreya Singh,shreya.singh6@company.com,9735196941,Male,1974-05-29,21,it,Financial Analyst,Full Time,2022-01-25 00:00:00,Mumbai,Master's,17.7,389914,19495.7,Good ,Rahul Rao,Resigned,mARRIED,10,1,23.0,
50832,Vivek Mehta,vivek.mehta20@company.com,9718035963,Female,1978-11-28,55,Operations,Support Specialist,Intern,2024-01-13 00:00:00,Gurugram,PhD,5.0,1878239,281735.85,Needs Improvement,Sneha Patel,Resigned,Single,27,5,6.0,Good performer
50616,Kavya Sharma,kavya.sharma92@company.com,9571574607,Male,1978-02-24,35,Sales,Account Executive,Full Time,2020-08-06 00:00:00,Hyderabad,Master's,10.3,1429372,142937.2,aVERAGE,Vikram Singh,Resigned,Divorced,35,2,16.0,
51165,Arjun Kumar,arjun.kumar86@company.com,9553933601,male,1968-09-14,150,Sales,Financial Analyst,Contract,2019-12-07 00:00:00,Chennai,PhD,16.5,582788,0.0,Average,Rahul Rao,On Leave  ,Single,12,3,9.0,Needs training
50672,Vivek Kumar,vivek.kumar18@company.com,9278756187,Other,1997-02-15,30,sALES,HR Executive,Full Time,2022-08-31 00:00:00,kolkata,PhD,7.6,613996,61399.6,Excellent,Sneha Patel,Active,Single,8,1,10.0,
50955,Shreya Mehta,shreya.mehta88@company.com,12345,Male,2004-08-04,60,Sales,Support Specialist,Intern,2023-10-13 00:00:00,Hyderabad,Master's,12.8,826024,66081.92,Excellent,mEERA nAIR,Inactive,Married,22,3,,Good performer
50072,Shreya Kumar,,12345,Female,1976-05-12,23,Operations,Operations Executive,Full Time,2021-12-27 00:00:00,Gurugram,Bachelor's,1.3, 1073918 ,0.0,Excellent,Meera Nair,On Leave,Divorced,8,1,1.0,
50930,Nikhil Mehta  ,,9673052052,Other,2002-01-20,23,IT,Data Analyst,iNTERN,2024-08-05 00:00:00,Gurugram,bachelor,9.2,"1,482,653",296530.6,Excellent,Rahul Rao,On Leave,Divorced,25,1,24.0,
50049,Kavya Patel,kavya.patel77@company.com,9459959617,Other,1975-04-24,52,Customer Support,HR Executive,Contract,2023-04-27 00:00:00,Gurugram,master,12.5,509377,40750.16,Needs Improvement,pRIYA sHARMA,Inactive,Divorced,19,1,39.0,Fast learner
50198,Vivek Rao,vivek.rao69@company.com,9837604299,Female,1973-03-26,32,HR,Business Analyst,Part Time,2025-07-03 00:00:00,Kolkata,PhD,3.1,2130254,426050.8,Excellent,Priya Sharma,Inactive,Divorced,10,1,2.0,Fast learner
50656,Nikhil Rao,nikhil.rao91@company.com,9249179459,Male,1970-07-29,60,Procurement,Software Engineer,Intern,2021-06-30 00:00:00,Delhi,Master's,2.9,1514149,151414.9,Needs Improvement,Anil Kumar,Active,Single,26,1,18.0,Good performer
50240,Isha Rao,isha.rao65@company.com,9562010861,Other,1978-08-04,21,IT,Operations Executive,Part Time,2022-08-04 00:00:00,Mysuru,PhD,2.9,,189899.4,good,Priya Sharma,Resigned,Single,23,1,32.0,
50966,Akash Sharma,akash.sharma84@company.com,9514926148,Other,1996-02-15,50,Customer Support,Support Specialist,Contract,2024-11-12 00:00:00,Gurugram,Diploma,16.6,1875606,93780.3,Good,Anil Kumar,Inactive,Single,9,2,36.0,Fast learner
50408,Meera Das,meera.das37@company.com,9802085759,Male,1974-05-28,64, Marketing ,HR Executive,Intern,,Gurugram,Diploma,3.5,902018,72161.44,Average,Rahul Rao,On Leave,Married,,4,29.0,
51084,Amit Sharma,amit.sharma29@company.com,9409753371,Male,1988-12-06,29,FINANCE,Business Analyst,Contract,2024-05-30 00:00:00,Kolkata,Diploma,4.6,1676773,335354.6,Average,Priya Sharma,Inactive,Married,31,1,11.0,Needs training
50867,Kavya Mehta,kavya..mehta4@company..com,9128857761,Other,1974-05-17,27,Procurement,Sales Executive,Part Time,2022-02-22 00:00:00,mYSURU,mASTER'S,1.3,303224,0.0,Good,Meera Nair,Resigned,Divorced,15,3,10.0,
50170,Priya Sharma,priya.sharma53@company.com,9450084301,Other,1997-09-16,53,Customer Support,Software Engineer,Contract,2023-01-01 00:00:00,Kolkata,Bachelor's,10.2,828371,82837.1,Good,Rahul Rao,Active,Single,9,4,33.0,Needs training
50367,Arjun Mehta,arjun.mehta49@company.com,9867744275,Female,1983-12-23,33,HR,Financial Analyst,Full Time,2020-10-26 00:00:00,Noida,PhD,3.7, 802436 ,160487.2,Average,Meera Nair,Active,Married,6,5,26.0,Good performer
50040,Vivek Gowda,vivek.gowda68@company.com,9117554969,M,1991-06-29,31,Customer Support,Sales Executive,Intern,2023-04-13 00:00:00,Delhi,DIPLOMA,4.3,1252582,187887.3,Average,Rahul Rao,Resigned,Divorced,1,3,38.0,
50102,mEERA vERMA,meera.verma56@company.com,9904444847,Male,2003-02-19,38,Finance  ,Business Analyst,internship,2022-12-20 00:00:00,Pune,PhD,1.4,2157581,323637.15,Needs Improvement,Meera Nair,active,Married,1,3,25.0,
51033, Akash Reddy,akash.reddy60@company.com,992-321-2226,Other,1974-03-08,54,procurement,Data Analyst,Part Time,2022-12-12 00:00:00,Noida,PhD,10.2,882119,88211.9,Average,Meera Nair  ,On Leave,MARRIED,25,2,5.0,Good performer
51001,amit  das,amit.das80@company.com,9325162101,Other,2004-03-09,54,Sales,HR Executive,Intern,2025-09-19 00:00:00,Gurugram,Master's,5.4,726906,,Needs  Improvement,Sneha Patel,Inactive,Divorced,32,2,1.0,Needs training
50002,sanjay singh,sanjay.singh46@company.com,9964508088,female,1982-10-27,65,Marketing,Software Engineer,Full Time,2021-10-27 00:00:00,Gurugram,Diploma,5.2,969091,48454.55,Average,Anil Kumar,On Leave,Married,29,4,5.0,
50294,Kavya Patel,kavya.patel74@company.com,9348764530,Male,1998-02-28,57,Ops,financial analyst,Fulltime,2021-07-16 00:00:00,Mysuru,Bachelor's,2.4,1696823,0.0,Needs Improvement,,Resigned,Single,9,2,27.0,Fast learner
51134,Nikhil Nair, nikhil.nair15@company.com,9385371303,Other,2005-07-30,41,HR,account executive,Intern,2020-08-02 00:00:00,Mysuru,Bachelor's,12.8,1377915,110233.2,Good,Rahul Rao,Active, Married ,27,,10.0,
50486,kiran gowda,kiran.gowda25@company.com,9894169449,Female  ,1992-09-01,30,Customer Support,Account Executive,Intern,2021-09-29 00:00:00,Mysuru  ,Diploma,16.7,1434120,0.0,Needs Improvement,Vikram  Singh,Active,Divorced,3,5,25.0,
50689,Rohit Joshi, rohit.joshi51@company.com,9724858133,male,1981-01-09,0,Operations,Financial Analyst,Full Time  ,2025-06-07 00:00:00,Pune,Master's,10.5,1922100,153768.0,Average,Vikram Singh,ON LEAVE,Single,31,5,41.0,
50208,SANJAY MEHTA,SANJAY.MEHTA57@COMPANY.COM,9296003570,Other,2006-08-14,57,Operations,Business Analyst,Contract,2026-01-26 00:00:00,Noida,diploma,13.9,1911399,191139.9,Average,rAHUL rAO,resigned,Divorced,8,3,21.0,
50945,Kavya Nair,kavya.nair68@company.com,965-920-8987,Female,1991-01-24,60,Sales,Sales Executive,Contract,2024-08-05 00:00:00,Mysuru,Bachelor's,13.3,2134699,170775.92,Needs Improvement,Sneha Patel,Active,Divorced,10,3,38.0,Fast learner
50574,Pooja Mehta,pooja.mehta66@company.com,9524959962,Female,1985-03-15,30,Procurement,Business Analyst,Part Time,2019-03-01 00:00:00,Mysuru,Diploma,16.6,1166099,0.0,Average,,On Leave,Married,13,4,35.0,Fast learner
50497,Arjun Nair,invalid-email,9589370812,Other,1993-04-08,40, Customer Support ,HR Executive,Intern,,Mysuru,,14.9,2187539,328130.85,Average,vikram singh,Resigned,Married,19,5,36.0,
50093,pRIYA mEHTA,PRIYA.MEHTA35@COMPANY.COM,9333323285,Male,1982-01-07,47,procurement,Data Analyst,Intern,,kOLKATA,Diploma,3.8,819911,163982.2,Good,Anil Kumar,Resigned,dIVORCED,30,4,28.0,
50855,Rahul Singh,rahul.singh29@company.com,9284745928,Female,1974-02-21,23,Customer Support,Data Analyst,CONTRACT,2020-09-07 00:00:00,Mysuru,Diploma,4.7,1588179,317635.8,Average,Anil Kumar,Inactive,Single,0,1,11.0,Good performer
50958, kIRAN mEHTA,kiran.mehta44@company.com,9195318853,Other,2006-05-09,36,HR,Marketing Analyst,Full Time,2023-09-02 00:00:00,Gurugram,BACHELORS,5.2,1598758,159875.8,Needs Improvement,Anil Kumar,Resigned,Married,16,5,26.0,
50861,Rohit Sharma,rohit.sharma78@company.com,9931358801,Other,1970-08-07,64,Marketing,Account Executive,Full Time,2025-07-31 00:00:00,Gurugram,Bachelor's,15.7,293476,14673.8,good,Sneha Patel,Resigned,Divorced,3,5,19.0,Good performer
50103,Rohit Reddy,rohit.reddy53@company.com,9728847196,,1987-03-14,36,Finance,Operations Executive,Intern,2023-01-21 00:00:00,Mysuru,bachelor's,11.6,288147,57629.4,Good,Priya Sharma, ,married,5,,14.0,Good performer
50893,Priya  Sharma,priya.sharma8@company.com,9622279053,Male,2004-01-13,53,Customer Support,HR Executive,Intern,2025-10-10 00:00:00,Gurugram,PhD,5.5,1636930,245539.5,Excellent,Priya Sharma,Active,divorce,12,4,27.0,
50337,Meera Rao,meera.rao43@company.com,9441673568,Female,1982-06-06,20,,Financial Analyst,contract,2022-07-30 00:00:00,Mysuru,PhD,14.9,327330,49099.5,Good,Meera Nair,Resigned,Divorced,34,4,10.0,Needs training
50306,Kavya Verma,kavya.verma52@company.com,9976914636,Female,1980-04-20,24,Procurement,HR Executive,Intern,2021-05-07 00:00:00,Pune,,6.0,2105172,210517.2,Excellent,Anil Kumar,ON LEAVE,Married,6,1,6.0,
50539,Sanjay Mehta,sanjay.mehta23@company.com,9652425513,Male,1978-10-30,53,IT,Financial Analyst,Part Time,2024-05-16 00:00:00,Hyderabad,Bachelor'S,10.0,1262179,63108.95,Excellent,Sneha Patel,Active,Married,11,3,40.0,Needs training
50082,Nikhil Sharma,nikhil.sharma22@company.com,9237556478,Male,1985-06-16,52,Customer Support,Account Executive,Intern  ,2019-06-21 00:00:00,,Diploma,,281699,14084.95,Good,Sneha Patel,On Leave,Married,20,3,2.0,Good performer
50276,Neha Reddy,neha.reddy37@company.com,12345,Female,2002-02-13,43,HR,Business Analyst,Full Time,2022-03-15 00:00:00,mysuru,master,3.1,1936703,154936.24,Excellent,Anil Kumar,Resigned,Divorced,10,2,23.0,Good performer
50630,Pooja Rao,pooja.rao97@company.com,9543686319,Female,1989-08-06,42,IT,HR Executive,Part Time,2021-12-16 00:00:00,bENGALURU,diploma,15.4,1925735,96286.75,Excellent,Meera Nair,Resigned,Divorced,3,0,4.0,Fast learner
50495,Rohit Gowda,rohit.gowda67@company.com,9816504832,Other,2006-07-11,45,Marketing,Business Analyst,Intern,2021-03-03 00:00:00,Pune,Diploma,12.2,,195724.35,Excellent,Vikram Singh,Active,Divorced,1,5,8.0,
51004, Rahul Rao,rahul.rao99@company.com,9465695569,Female,2008-01-18,32,customer service,Operations Executive,Part Time,2025-08-16 00:00:00,Mysuru,PhD,14.3,1518676,303735.2,Average,Sneha Patel,Inactive,Married,33,5,5.0,Needs training
50801, Isha Singh ,isha.singh62@company.com,9226405702,Male,1984-02-25,,Procurement,Financial  Analyst,Contract,2019-10-10 00:00:00,Noida,Masters,13.8,50000000,0.0,Average,Vikram Singh,Resigned,Single,23,3,32.0,
51170,Rohit Kumar,rohit.kumar68@company.com,9711865244,Male,1991-07-03,51,Operations,Operations Executive,Part Time,2023-08-19 00:00:00,Gurugram,Diploma,2.0,277586,41637.9,Excellent  ,Rahul Rao,Inactive,Married,6,3,0.0,Fast learner
50923,Rohit Sharma,,9743113414,Male,1971-08-15,54,Sales,Support Specialist,Part Time,2022-05-29 00:00:00,Mumbai,Diploma,9.1,575384,28769.2,Excellent,Sneha Patel,Resigned,Divorced,1,2,6.0,Good performer
51162,NIKHIL GOWDA,nikhil.gowda69@company.com,9555019568,Other,1985-10-19,55,HR, Support Specialist,pART tIME,2026-03-10 00:00:00,Mysuru,Master's,0.1,725037,72503.7,Average,Vikram Singh,Active,Married,16,4,18.0,
50646,Pooja Sharma,pooja.sharma1@company.com,9208589416,Other,1968-02-11,28,Marketing,Marketing Analyst,Part Time,2019-01-17 00:00:00,Hyderabad,Bachelor's,15.0,839547,83954.7,Needs Improvement,Vikram Singh,Inactive,Married,12,6,36.0,Fast learner
50871,Rahul Das  ,rahul.das99@company.com,9709763337,Other,1971-07-08,52,Marketing,Marketing Analyst,Full Time,2024-10-08 00:00:00,Mumbai,Bachelor's,14.8,1469741,117579.28,EXCELLENT,Meera Nair,Active,Single,12,4,27.0,
50684,Priya Kumar,priya.kumar32@company.com,9127123294,Other,1998-01-16,47,Sales,Data Analyst,Part Time,2025-03-28 00:00:00,Hyderabad,Diploma,2.4,1288575,257715.0,Average,Vikram Singh,On Leave,Divorced,3,4,28.0,Needs training
50172,meera gowda,meera.gowda67@company.com,9861036538, Other ,1977-02-18,55,Sales,HR Executive,Part Time,2021-09-24 00:00:00,Noida,Bachelor's,7.4,1938106,290715.9,Good,Rahul  Rao,Active,dIVORCED,2,2,11.0,
50541,NEHA JOSHI,neha.joshi87@company.com,9821704710,Male,2004-07-24,34,Customer Support,HR Executive,contractual,2025-06-14 00:00:00,Mysuru,Bachelor's,7.0,1694501,84725.05,Average,Priya Sharma,Inactive,Single,13,2,20.0,
50578,Shreya Reddy,shreya.reddy76@company.com,9746318558,Male,1971-09-12,62,Procurement,ACCOUNT EXECUTIVE,Full Time,2022-12-14 00:00:00,Gurugram,PhD,2.4,538635,26931.75,Average,Vikram Singh,Active,Married,4,3,42.0,Good performer
51169,Vivek Rao,vivek.rao75@company.com,9488195150,Male,2005-12-24,52,it,Support Specialist,Contract,2023-10-28 00:00:00,Hyderabad,Master's,0.8,897383,134607.45,Needs Improvement,mEERA nAIR,Resigned,Divorced,1,3,0.0,Good performer
50120,Isha Verma,isha.verma42@company.com,9888163315,Male,1999-03-06,61,HR, Support Specialist ,Intern,2023-07-26 00:00:00,Mumbai  ,Master's,80,349787,52468.05,Good,Rahul Rao,Resigned,Married,15,4,2.0,
50715,Sanjay Mehta,sanjay.mehta1@company.com,9113599491,Male,1968-04-08,20,CUSTOMER SUPPORT,Account Executive,Contract,2023-05-21 00:00:00,Gurugram,PhD,6.4,377781,30222.48,Average,Priya Sharma,On Leave,Married,19,5,11.0,Fast learner
50505, ROHIT NAIR ,rohit.nair72@company.com,9402888482,Female,1998-11-15,54,Procurement,,Part Time,2024-02-28 00:00:00,mUMBAI,PhD,10.6,527757,26387.85,Average,Anil Kumar,On Leave,Single,22,2,37.0,Good performer
50429,Neha Verma, neha.verma17@company.com ,9775367008,Female,1980-02-27,53,Operations,Account Executive,full-time,2022-04-16 00:00:00,Pune,Master's,12.7,316162,31616.2,nEEDS iMPROVEMENT,Priya Sharma,On Leave,MARRIED,4,4,15.0,
51095,Pooja Gowda,pooja.gowda66@company.com,9448372053,Male,1978-11-25,23,IT,Software Engineer,Full Time,2024-10-13 00:00:00,Mysuru,Bachelor's,16.4,1712128,136970.24,Average,Sneha Patel,Active,Divorced,30,3,2.0,Fast learner
50147,Vivek Patel,vivek.patel50@company.com,9438702203,,2002-07-28,21,Sales,HR Executive,Contract,2025-07-24 00:00:00,Kolkata,Diploma,2.8,1884610,94230.5,Average,Anil Kumar,Resigned,Married,18,1,23.0,Fast learner
50538,Kavya Kumar, kavya.kumar10@company.com ,9209937565,Female,1965-05-08,21,Procurement,Account Executive,Contract,2021-05-13 00:00:00,Kolkata,Diploma,15.3,1228551,98284.08,Good,Sneha Patel,On Leave,sINGLE,20,3,30.0,Needs training
51066,Sanjay Kumar,sanjay.kumar29@company.com,9674852114,Female,1984-09-01,27,Operations,Data Analyst,PART TIME,2022-07-10 00:00:00, Noida,Bachelor degree,6.0,478665,47866.5, Good ,Anil Kumar,On Leave,Divorced,5,3,45.0,
50949,Vivek Verma,vivek.verma29@company.com,9846153628,Other  ,1979-03-03,55,Operations,HR Executive,Contract,2026-07-07 00:00:00,Chennai,Master's,8.5,,110245.2,Average,Sneha Patel,Inactive,Divorced,7,4,36.0,Good performer
50890,Isha Kumar,isha.kumar46@company.com,9436097844,Male,1987-07-07,35 years,Customer Support,Operations Executive,FULL TIME,2023-08-14 00:00:00,Hyderabad,PhD,15.8,907352,181470.4,Needs Improvement,Priya Sharma,Resigned,Single,27,4,41.0,
51178,Shreya Kumar,shreya.kumar83@company.com,9397063117,Other,2007-11-22,22,hr,Account Executive,Contract,2022-08-23 00:00:00,Pune,Master's,0.8,784749,0.0,Average,Rahul Rao,On Leave,Married,10,2,36.0,Fast learner
50097,Kiran Reddy,kiran.reddy38@company.com,9502441939,Other,1965-03-04,36,Customer Support,Sales Executive,Intern,2019-10-17 00:00:00,Pune,Diploma,5.9,402835,0.0,Excellent,Sneha Patel,On Leave,Divorced,33,3,7.0,Needs training
50804,Isha Joshi,isha.joshi13@company.com,9332767587,Female,1989-11-12,150,Customer Support,HR  Executive,Contract,2023-03-12 00:00:00,Gurugram,Diploma,6.1,806265,161253.0,Average,Meera Nair,On Leave,single,25,3,12.0,Good performer
